OBJECTNAME;LON;LAT;RB;DTF;COV;REGION;POC;POCLON;POCLAT
857a750bfffffff;40.00021;-1.51439;3560.7;0;2G;857a750bfffffff;857a750bfffffff;40.00021;-1.51439
857a751bfffffff;40.07898;-1.65557;3282.6;18.45235866;2G;857a751bfffffff;857a751bfffffff;40.07898;-1.65557
857a7547fffffff;40.08092;-1.38074;1730.7;14.709590039999998;2G;857a7547fffffff;857a7547fffffff;40.08092;-1.38074
857a7557fffffff;40.15965;-1.52178;5273.1;15.64514562;2G;857a7557fffffff;857a7557fffffff;40.15965;-1.52178
857a7573fffffff;39.92149;-1.37327;571.2;17.779169969999998;2G;857a7573fffffff;857a7573fffffff;39.92149;-1.37327
857a7593fffffff;40.07508;-2.2069;1482.6;0;2G;857a7593fffffff;857a7593fffffff;40.07508;-2.2069
857ae023fffffff;41.74528;4.00801;4741.8;15.17931556;2G;857ae023fffffff;857ae023fffffff;41.74528;4.00801
857ae033fffffff;41.82225;3.87306;35015.7;0;2G;857ae033fffffff;857ae033fffffff;41.82225;3.87306
857ae03bfffffff;41.89911;3.99781;6896.7;0;2G;857ae03bfffffff;857ae03bfffffff;41.89911;3.99781
857aed93fffffff;39.01869;3.52693;5679.3;0;2G;857aed93fffffff;857aed93fffffff;39.01869;3.52693
857aed97fffffff;38.86147;3.5365;46.8;18.992370320000003;2G;857aed97fffffff;857aed97fffffff;38.86147;3.5365
857b4a07fffffff;39.16764;-4.53979;1393.5;8.962457700000002;2G;857b4a07fffffff;857b4a07fffffff;39.16764;-4.53979
857b4a17fffffff;39.24733;-4.6834;1033.8;17.91028263;2G;857b4a17fffffff;857b4a17fffffff;39.24733;-4.6834
857b4a33fffffff;39.00518;-4.53366;1427.7;13.64028979;2G;857b4a33fffffff;857b4a33fffffff;39.00518;-4.53366
857b4a43fffffff;39.65652;-4.27748;5472.9;9.983995279999998;2G;857b4a43fffffff;857b4a43fffffff;39.65652;-4.27748
857b4a47fffffff;39.49473;-4.27134;7848.3;0;2G;857b4a47fffffff;857b4a47fffffff;39.49473;-4.27134
857b4a4bfffffff;39.73854;-4.14051;7507.2;11.99205926;2G;857b4a4bfffffff;857b4a4bfffffff;39.73854;-4.14051
857b4a4ffffffff;39.57692;-4.13432;506.7;13.663914160000001;2G;857b4a4ffffffff;857b4a4ffffffff;39.57692;-4.13432
857b4a57fffffff;39.57437;-4.41462;2111.7;13.822378819999999;2G;857b4a57fffffff;857b4a57fffffff;39.57437;-4.41462
857b4a63fffffff;39.25321;-4.12183;2179.5;0;2G;857b4a63fffffff;857b4a63fffffff;39.25321;-4.12183
857b4a6bfffffff;39.33561;-3.98489;3892.5;16.73532268;2G;857b4a6bfffffff;857b4a6bfffffff;39.33561;-3.98489
857b4a73fffffff;39.33278;-4.26516;7956.3;14.41861095;2G;857b4a73fffffff;857b4a73fffffff;39.33278;-4.26516
857b4a7bfffffff;39.41515;-4.1281;325.5;0;2G;857b4a7bfffffff;857b4a7bfffffff;39.41515;-4.1281
857b5903fffffff;39.90434;-3.58798;11832;0;2G;857b5903fffffff;857b5903fffffff;39.90434;-3.58798
857b5907fffffff;39.74326;-3.58156;4010.1;13.08606265;2G;857b5907fffffff;857b5907fffffff;39.74326;-3.58156
857b590ffffffff;39.82495;-3.44536;2852.1;19.07586843;2G;857b590ffffffff;857b590ffffffff;39.82495;-3.44536
857b5917fffffff;39.82269;-3.7243;2215.5;12.64234166;2G;857b5917fffffff;857b5917fffffff;39.82269;-3.7243
857b5947fffffff;40.06723;-3.31588;5306.1;12.028712299999999;2G;857b5947fffffff;857b5947fffffff;40.06723;-3.31588
857b594ffffffff;40.14847;-3.1801;12939.6;0;2G;857b594ffffffff;857b594ffffffff;40.14847;-3.1801
857b597bfffffff;39.98792;-3.17352;8364.6;14.48235567;2G;857b597bfffffff;857b597bfffffff;39.98792;-3.17352
857b5987fffffff;39.82043;-4.00371;7233;17.07276534;2G;857b5987fffffff;857b5987fffffff;39.82043;-4.00371
857b59a3fffffff;39.57947;-3.85448;762.3;12.80954731;2G;857b59a3fffffff;857b59a3fffffff;39.57947;-3.85448
857b59a7fffffff;39.41788;-3.84812;0;0;2G;857b59a7fffffff;857b59a7fffffff;39.41788;-3.84812
857b59affffffff;39.50002;-3.71152;7435.2;16.83481913;2G;857b59affffffff;857b59affffffff;39.50002;-3.71152
857b59b3fffffff;39.65898;-3.99748;5629.5;0;2G;857b59b3fffffff;857b59b3fffffff;39.65898;-3.99748
857b59b7fffffff;39.49738;-3.9912;8101.2;15.01526913;2G;857b59b7fffffff;857b59b7fffffff;39.49738;-3.9912
857b5b2bfffffff;40.15408;-2.34856;3592.8;11.14637496;2G;857b5b2bfffffff;857b5b2bfffffff;40.15408;-2.34856
857b5b2ffffffff;39.99408;-2.34157;11.1;14.366240809999999;2G;857b5b2ffffffff;857b5b2ffffffff;39.99408;-2.34157
857b5b43fffffff;40.7924;-2.37626;2846.1;16.85562636;2G;857b5b43fffffff;857b5b43fffffff;40.7924;-2.37626
857b5b4bfffffff;40.87251;-2.24188;1286.4;0;2G;857b5b4bfffffff;857b5b4bfffffff;40.87251;-2.24188
857b5b4ffffffff;40.71337;-2.23493;771.6;15.45211757;2G;857b5b4ffffffff;857b5b4ffffffff;40.71337;-2.23493
857b5b5bfffffff;40.95155;-2.38312;189.3;19.643430990000002;2G;857b5b5bfffffff;857b5b5bfffffff;40.95155;-2.38312
857b5b67fffffff;40.2349;-2.21394;2144.4;16.1976127;2G;857b5b67fffffff;857b5b67fffffff;40.2349;-2.21394
