OBJECTNAME;LON;LAT;RB;DTF;COV;REGION;POC;POCLON;POCLAT
857a696ffffffff;34.10247;-0.81569;4801.5;50.52121906;2G;857a696ffffffff;857a697bfffffff;34.3434;-0.96656
857a6973fffffff;34.25726;-1.10144;11106;21.87529702;2G;857a6973fffffff;857a697bfffffff;34.3434;-0.96656
857a6977fffffff;34.09357;-1.09341;2397;39.809816250000004;2G;857a6977fffffff;857a697bfffffff;34.3434;-0.96656
857a69cbfffffff;34.73973;-1.40353;7569.9;34.08149581;2G;857a69cbfffffff;857a6957fffffff;34.49844;-1.25248
857a6a03fffffff;35.98782;-0.49366;21729;25.43716325;2G;857a6a03fffffff;857a6a0bfffffff;36.07223;-0.35991
857a6a07fffffff;35.82552;-0.48558;4454.7;35.6553736;2G;857a6a07fffffff;857a6a0ffffffff;35.91007;-0.3518
857a6a13fffffff;36.06564;-0.63563;14511.9;32.11186479;2G;857a6a13fffffff;857a6a1bfffffff;36.15003;-0.50173
857a6a17fffffff;35.90329;-0.6276;5078.1;42.81629342;2G;857a6a17fffffff;857a6a0ffffffff;35.91007;-0.3518
857a6a23fffffff;35.58544;-0.33555;16514.7;25.46715226;2G;857a6a23fffffff;857a6a2bfffffff;35.67016;-0.20188999999999999
857a6a33fffffff;35.66311;-0.47749;5973.3;40.3728061;2G;857a6a33fffffff;857a6a2bfffffff;35.67016;-0.20188999999999999
857a6a37fffffff;35.5006;-0.46939;9128.4;26.76551138;2G;857a6a37fffffff;857a6a27fffffff;35.42299;-0.32741
857a6a3bfffffff;35.7478;-0.34367;11857.2;27.98430859;2G;857a6a3bfffffff;857a6a2bfffffff;35.67016;-0.20188999999999999
857a6a4ffffffff;36.24068;-0.09299;8834.1;20.58161125;2G;857a6a4ffffffff;857a41b3fffffff;36.32472;0.04018
857a6a5bfffffff;36.48024;-0.24263;1711.2;32.71085756;2G;857a6a5bfffffff;857a6a53fffffff;36.39625;-0.37611
857a6a63fffffff;35.91683;-0.07661;2677.5;28.368391759999998;2G;857a6a63fffffff;857a6a73fffffff;35.9945;-0.2182
857a6a6bfffffff;36.00116;0.05663;1571.7;38.07505943;2G;857a6a6bfffffff;857a6a73fffffff;35.9945;-0.2182
857a6a77fffffff;35.83238;-0.21005;670.5;23.52644527;2G;857a6a77fffffff;857a6a67fffffff;35.75476;-0.06842
857a6a83fffffff;36.05904;-0.91196;6884.4;28.17677155;2G;857a6a83fffffff;857a6a97fffffff;35.97443;-1.0464
857a6a8bfffffff;36.14353;-0.77772;7401.3;33.74508636;2G;857a6a8bfffffff;857a6ac7fffffff;36.22789;-0.64366
857a6a8ffffffff;35.98113;-0.76973;5518.2;35.96216384;2G;857a6a8ffffffff;857a6a87fffffff;35.8965;-0.90401
857a6a93fffffff;36.13701;-1.05431;4803.3;30.68229552;2G;857a6a93fffffff;857a6a97fffffff;35.97443;-1.0464
857a6a9bfffffff;36.22148;-0.91991;2917.8;33.52300974;2G;857a6a9bfffffff;857a6ad7fffffff;36.30582;-0.7857
857a6aa3fffffff;35.65604;-0.75371;15326.1;34.070513270000006;2G;857a6aa3fffffff;857a6aa7fffffff;35.49334;-0.74568
857a6aabfffffff;35.74084;-0.61955;10279.5;47.00216719;2G;857a6aabfffffff;857a6aa7fffffff;35.49334;-0.74568
857a6aaffffffff;35.57829;-0.61149;12493.5;31.61240308;2G;857a6aaffffffff;857a6aa7fffffff;35.49334;-0.74568
857a6ab3fffffff;35.73385;-0.89603;5429.4;24.140006130000003;2G;857a6ab3fffffff;857a684bfffffff;35.81174;-1.03847
857a6ab7fffffff;35.57111;-0.88805;19892.1;27.06009514;2G;857a6ab7fffffff;857a6aa7fffffff;35.49334;-0.74568
857a6abbfffffff;35.81863;-0.76172;2079;34.65911835;2G;857a6abbfffffff;857a6a87fffffff;35.8965;-0.90401
857a6b0ffffffff;34.77226;-0.29479;2575.2;22.28146893;2G;857a6b0ffffffff;857a6b73fffffff;34.85767;-0.16098
857a6b23fffffff;34.4464;-0.27844;1827;37.349542029999995;2G;857a6b23fffffff;857a4d93fffffff;34.45486;-0.00267
857a6b27fffffff;34.28334;-0.27026;5838;46.53245964;2G;857a6b27fffffff;857a4d93fffffff;34.45486;-0.00267
857a6b2bfffffff;34.53208;-0.14458;2136.3;20.31809029;2G;857a6b2bfffffff;857a6b67fffffff;34.61764;-0.0109
857a6b33fffffff;34.5237;-0.42064;8275.8;39.04157475;2G;857a6b33fffffff;857a6b17fffffff;34.76416;-0.57107
857a6b37fffffff;34.36059;-0.41249;937.5;53.94472708;2G;857a6b37fffffff;857a4d93fffffff;34.45486;-0.00267
857a6b6bfffffff;34.86566;0.11433;8136;23.03328672;2G;857a6b6bfffffff;857a6b63fffffff;34.78035;-0.01913
857a6b7bfffffff;34.94297;-0.02736;7303.2;22.891443080000002;2G;857a6b7bfffffff;857a6b73fffffff;34.85767;-0.16098
857a6b83fffffff;34.91922;-0.856;834.6;26.440077239999997;2G;857a6b83fffffff;857a6b8bfffffff;35.00471;-0.72155
